name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
Mango Plant,mango-plant,Fruit-Bearing Plants,,Sweet mangoes. Perfect for large gardens.,2999,2499,MNG-001,5,mango1
Lemon Plant,lemon-plant,Fruit-Bearing Plants,,Fresh lemons year-round. Great for small gardens.,1999,1599,LMN-001,8,lemon1
Guava Plant,guava-plant,Fruit-Bearing Plants,,Sweet guavas. Easy to grow fruit tree.,2499,1999,GUV-001,6,guava1
Pomegranate Plant,pomegranate-plant,Fruit-Bearing Plants,,Healthy pomegranates. Beautiful flowering tree.,2299,1899,PMG-001,7,pomegranate1
Tulsi (Holy Basil),tulsi-holy-basil,Herbal & Medicinal Plants,,Sacred plant with medicinal properties. Easy to grow.,299,199,TLS-001,50,tulsi1
Neem Plant,neem-plant,Herbal & Medicinal Plants,,Natural pesticide and medicinal tree. Very hardy.,799,599,NEM-001,20,neem1
Giloy Plant,giloy-plant,Herbal & Medicinal Plants,,Immunity booster vine. Great for health.,499,349,GLY-001,30,giloy1
Aloe Vera (Large),aloe-vera-large,Herbal & Medicinal Plants,,Large medicinal aloe plant. Multiple health benefits.,599,449,ALV-002,25,aloe-large1
Golden Barrel Cactus,golden-barrel-cactus,Cactus & Succulents,,Round golden cactus. Perfect for desert gardens.,799,599,GBC-001,20,barrel-cactus1
Christmas Cactus,christmas-cactus,Cactus & Succulents,,Flowering cactus. Blooms in winter.,499,349,CHC-001,35,christmas-cactus1
Echeveria,echeveria,Cactus & Succulents,,Beautiful rosette succulent. Great for arrangements.,399,299,ECH-001,40,echeveria1
Haworthia,haworthia,Cactus & Succulents,,Small striped succulent. Perfect for small spaces.,299,199,HWT-001,45,haworthia1
Jade Bonsai,jade-bonsai,Bonsai Plants,,Miniature jade tree. Perfect for meditation spaces.,1299,999,JDB-001,10,jade-bonsai1
Ficus Bonsai,ficus-bonsai,Bonsai Plants,,Classic bonsai tree. Great for beginners.,1599,1299,FCB-001,8,ficus-bonsai1
Juniper Bonsai,juniper-bonsai,Bonsai Plants,,Traditional bonsai style. Requires careful pruning.,1999,1599,JNB-001,5,juniper-bonsai1
Plastic Round Pot (6 inch),plastic-round-pot-6,Plastic Pots,,Lightweight and durable. Perfect for small plants.,99,79,PRP-001,100,plastic-pot-6
Plastic Round Pot (8 inch),plastic-round-pot-8,Plastic Pots,,Medium size plastic pot. Good drainage.,149,119,PRP-002,80,plastic-pot-8
Plastic Round Pot (10 inch),plastic-round-pot-10,Plastic Pots,,Large plastic pot. Perfect for big plants.,199,159,PRP-003,60,plastic-pot-10
Ceramic Round Pot (6 inch),ceramic-round-pot-6,Round Pots,,Beautiful glazed ceramic. Elegant design.,299,249,CRP-001,50,ceramic-round-6
Ceramic Round Pot (8 inch),ceramic-round-pot-8,Round Pots,,Medium ceramic pot. Perfect for living rooms.,399,329,CRP-002,40,ceramic-round-8
Ceramic Round Pot (10 inch),ceramic-round-pot-10,Round Pots,,Large ceramic pot. Statement piece.,599,499,CRP-003,30,ceramic-round-10
Square Ceramic Pot (6 inch),square-ceramic-pot-6,Square Pots,,Modern square design. Perfect for contemporary spaces.,349,279,SCP-001,45,square-ceramic-6
Square Ceramic Pot (8 inch),square-ceramic-pot-8,Square Pots,,Medium square pot. Clean lines.,449,369,SCP-002,35,square-ceramic-8
Square Ceramic Pot (10 inch),square-ceramic-pot-10,Square Pots,,Large square pot. Modern aesthetic.,699,579,SCP-003,25,square-ceramic-10
Stacking Planter Set,stacking-planter-set,Stacking Pots,,3-tier stacking system. Space-saving design.,799,649,SPS-001,20,stacking-set1
Hanging Basket (8 inch),hanging-basket-8,Hanging Pots,,Perfect for trailing plants. Includes chain.,299,239,HBK-001,30,hanging-basket-8
Hanging Basket (10 inch),hanging-basket-10,Hanging Pots,,Large hanging basket. Great for flowers.,399,329,HBK-002,25,hanging-basket-10
Railing Planter (24 inch),railing-planter-24,Railing Planters,,Perfect for balcony railings. Weather resistant.,599,499,RLP-001,15,railing-planter-24
Railing Planter (36 inch),railing-planter-36,Railing Planters,,Extra long railing planter. Great for herbs.,799,649,RLP-002,12,railing-planter-36
Fiber Pot (6 inch),fiber-pot-6,Fiber Pots & Planters,,Eco-friendly fiber pot. Biodegradable.,149,119,FBP-001,60,fiber-pot-6
Fiber Pot (8 inch),fiber-pot-8,Fiber Pots & Planters,,Medium fiber pot. Sustainable choice.,199,159,FBP-002,50,fiber-pot-8
Tall Planter (12 inch),tall-planter-12,Tall Planters,,Elegant tall design. Perfect for statement plants.,899,749,TLP-001,20,tall-planter-12
Tall Planter (16 inch),tall-planter-16,Tall Planters,,Extra tall planter. Great for trees.,1299,1099,TLP-002,15,tall-planter-16
Cube Planter (8 inch),cube-planter-8,Cube Planters,,Modern cube design. Perfect for succulents.,399,329,CBP-001,35,cube-planter-8
Cube Planter (10 inch),cube-planter-10,Cube Planters,,Large cube planter. Contemporary style.,599,499,CBP-002,25,cube-planter-10
Rectangular Planter (12 inch),rectangular-planter-12,Rectangular Planters,,Long rectangular design. Perfect for herbs.,499,399,RTP-001,30,rectangular-planter-12
Rectangular Planter (18 inch),rectangular-planter-18,Rectangular Planters,,Extra long planter. Great for vegetables.,799,649,RTP-002,20,rectangular-planter-18
Wall Mounted Planter,wall-mounted-planter,Wall Mounted Planters,,Space-saving wall design. Perfect for small spaces.,699,579,WMP-001,18,wall-mounted-planter1
Creative Owl Planter,creative-owl-planter,Creative Planter Designs,,Adorable owl-shaped planter. Perfect for kids' rooms.,399,329,COP-001,25,owl-planter1
Creative Cat Planter,creative-cat-planter,Creative Planter Designs,,Cute cat-shaped planter. Great gift item.,449,369,CCP-001,22,cat-planter1
AGLAONEMA,aglaonema,Indoor Plants,,Indoor plant,79900,59900,INP-200,25,
ALOCASIA,alocasia,Indoor Plants,,Indoor plant,79900,59900,INP-201,25,
ANTHURIUM,anthurium,Indoor Plants,,Indoor plant,79900,59900,INP-202,25,
BAMBOO STICKS,bamboo-sticks,Indoor Plants,,Indoor plant,79900,59900,INP-203,25,
BIRD OF PARADISE,bird-of-paradise,Indoor Plants,,Indoor plant,79900,59900,INP-204,25,
BOSTON FERN,boston-fern,Indoor Plants,,Indoor plant,79900,59900,INP-205,25,
BRAZILIAN WOOD,brazilian-wood,Indoor Plants,,Indoor plant,79900,59900,INP-206,25,
BROKEN HEART,broken-heart,Indoor Plants,,Indoor plant,79900,59900,INP-207,25,
CALADIUM,caladium,Indoor Plants,,Indoor plant,79900,59900,INP-208,25,
CALATHEA,calathea,Indoor Plants,,Indoor plant,79900,59900,INP-209,25,
CALETHIA PEACOCK,calethia-peacock,Indoor Plants,,Indoor plant,79900,59900,INP-210,25,
CROTON,croton,Indoor Plants,,Indoor plant,79900,59900,INP-211,25,
CURLY ZZ PLANT,curly-zz-plant,Indoor Plants,,Indoor plant,79900,59900,INP-212,25,
DIEFFENBACHIA,dieffenbachia,Indoor Plants,,Indoor plant,79900,59900,INP-213,25,
DRACAENA,dracaena,Indoor Plants,,Indoor plant,79900,59900,INP-214,25,
ENGLISH IVY,english-ivy,Indoor Plants,,Indoor plant,79900,59900,INP-215,25,
FICUS LYARATA,ficus-lyarata,Indoor Plants,,Indoor plant,79900,59900,INP-216,25,
FICUS STARLIGHT,ficus-starlight,Indoor Plants,,Indoor plant,79900,59900,INP-217,25,
FIDDLE LEAF FIG,fiddle-leaf-fig,Indoor Plants,,Indoor plant,79900,59900,INP-218,25,
FITTONIA,fittonia,Indoor Plants,,Indoor plant,79900,59900,INP-219,25,
GOLDEN POTHOS,golden-pothos,Indoor Plants,,Indoor plant,79900,59900,INP-220,25,
HOYA,hoya,Indoor Plants,,Indoor plant,79900,59900,INP-221,25,
KENTIA PALM,kentia-palm,Indoor Plants,,Indoor plant,79900,59900,INP-223,25,
LIPSTIC PLANT,lipstic-plant,Indoor Plants,,Indoor plant,79900,59900,INP-224,25,
LUCKY BAMBOO,lucky-bamboo,Indoor Plants,,Indoor plant,79900,59900,INP-225,25,
MAIDENHAIR FERN,maidenhair-fern,Indoor Plants,,Indoor plant,79900,59900,INP-226,25,
MONEY PLANT,money-plant,Indoor Plants,,Indoor plant,79900,59900,INP-227,25,
MONSTERA DELICIOSA,monstera-deliciosa,Indoor Plants,,Indoor plant,79900,59900,INP-228,25,
MOTH ORCHID,moth-orchid,Indoor Plants,,Indoor plant,79900,59900,INP-229,25,
PARLOR PALM,parlor-palm,Indoor Plants,,Indoor plant,79900,59900,INP-230,25,
PEPEROMIA,peperomia,Indoor Plants,,Indoor plant,79900,59900,INP-232,25,
PEPEROMIA RAINDROP,peperomia-raindrop,Indoor Plants,,Indoor plant,79900,59900,INP-233,25,
PRAYER PLANT,prayer-plant,Indoor Plants,,Indoor plant,79900,59900,INP-234,25,
RED MACHIRA,red-machira,Indoor Plants,,Indoor plant,79900,59900,INP-235,25,
REX BEGONIA,rex-begonia,Indoor Plants,,Indoor plant,79900,59900,INP-236,25,
SCHEFFLERA,schefflera,Indoor Plants,,Indoor plant,79900,59900,INP-238,25,
SELAGINELLA,selaginella,Indoor Plants,,Indoor plant,79900,59900,INP-239,25,
SILVER RIBBON PLANT,silver-ribbon-plant,Indoor Plants,,Indoor plant,79900,59900,INP-240,25,
SNAKE PLANT,snake-plant,Indoor Plants,,Indoor plant,79900,59900,INP-241,25,
STRING OF PEARLS,string-of-pearls,Indoor Plants,,Indoor plant,79900,59900,INP-243,25,
SWEDISH IVY,swedish-ivy,Indoor Plants,,Indoor plant,79900,59900,INP-244,25,
SYNGONIUM,syngonium,Indoor Plants,,Indoor plant,79900,59900,INP-245,25,
VELVET PLANT,velvet-plant,Indoor Plants,,Indoor plant,79900,59900,INP-246,25,
WEEPING FIG,weeping-fig,Indoor Plants,,Indoor plant,79900,59900,INP-247,25,
ABOLI,aboli,Outdoor Plants,,Outdoor plant,69900,49900,OUT-200,20,
AGAVE AMERICANA / VARIEGATA,agave-americana-variegata,Outdoor Plants,,Outdoor plant,69900,49900,OUT-201,20,
BANYAN TREE,banyan-tree,Outdoor Plants,,Outdoor plant,69900,49900,OUT-202,20,
BOXWOOD (BUXUS),boxwood-buxus,Outdoor Plants,,Outdoor plant,69900,49900,OUT-204,20,
BUTTERFLY PEA,butterfly-pea,Outdoor Plants,,Outdoor plant,69900,49900,OUT-205,20,
CELOSIA,celosia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-206,20,
COLEUS,coleus,Outdoor Plants,,Outdoor plant,69900,49900,OUT-207,20,
CORDYLINE PINK,cordyline-pink,Outdoor Plants,,Outdoor plant,69900,49900,OUT-208,20,
DURANTA (GOLDEN DEWDROP),duranta-golden-dewdrop,Outdoor Plants,,Outdoor plant,69900,49900,OUT-209,20,
FAN PALM (LIVISTONA SPP.),fan-palm-livistona,Outdoor Plants,,Outdoor plant,69900,49900,OUT-210,20,
FICUS PANDA / COMPACTA,ficus-panda-compacta,Outdoor Plants,,Outdoor plant,69900,49900,OUT-211,20,
FOXTAIL PALM (WODYETIA BIFURCATA),foxtail-palm,Outdoor Plants,,Outdoor plant,69900,49900,OUT-212,20,
HELICONIA,heliconia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-213,20,
HIBISCUS,hibiscus,Outdoor Plants,,Outdoor plant,69900,49900,OUT-214,20,
KALANCHOE,kalanchoe,Outdoor Plants,,Outdoor plant,69900,49900,OUT-215,20,
KANHERI,kanheri,Outdoor Plants,,Outdoor plant,69900,49900,OUT-216,20,
KUNDA,kunda,Outdoor Plants,,Outdoor plant,69900,49900,OUT-217,20,
MORINGA,moringa,Outdoor Plants,,Outdoor plant,69900,49900,OUT-218,20,
PEEPAL TREE,peepal-tree,Outdoor Plants,,Outdoor plant,69900,49900,OUT-219,20,
PETUNIA,petunia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-220,20,
RHOEO SPATHACEA (OYSTER PLANT),rhoeo-spathacea,Outdoor Plants,,Outdoor plant,69900,49900,OUT-221,20,
SALVIA,salvia,Outdoor Plants,,Outdoor plant,69900,49900,OUT-222,20,
SONG OF JAMAICA (DRACAENA REFLEXA),song-of-jamaica,Outdoor Plants,,Outdoor plant,69900,49900,OUT-223,20,
YUCCA (YUCCA ELEPHANTIPES),yucca-elephantipes,Outdoor Plants,,Outdoor plant,69900,49900,OUT-224,20,
CADAMBA/ BURFLOWER,cadamba-burflower,Fragrant Plants,,Fragrant plant,59900,39900,FRG-200,25,
CALENDULA,calendula,Fragrant Plants,,Fragrant plant,59900,39900,FRG-201,25,
CARNATION,carnation,Fragrant Plants,,Fragrant plant,59900,39900,FRG-202,25,
CHAFA,chafa,Fragrant Plants,,Fragrant plant,59900,39900,FRG-203,25,
CHAMELI,chameli,Fragrant Plants,,Fragrant plant,59900,39900,FRG-204,25,
CURRY LEAVES,curry-leaves,Fragrant Plants,,Fragrant plant,59900,39900,FRG-205,25,
DIANTHUS,dianthus,Fragrant Plants,,Fragrant plant,59900,39900,FRG-206,25,
DUTCH ROSE,dutch-rose,Fragrant Plants,,Fragrant plant,59900,39900,FRG-207,25,
FREESIA,freesia,Fragrant Plants,,Fragrant plant,59900,39900,FRG-208,25,
HELIOTROPE,heliotrope,Fragrant Plants,,Fragrant plant,59900,39900,FRG-209,25,
JASMINE PLANT (MOGRA),jasmine-plant-mogra,Fragrant Plants,,Fragrant plant,59900,39900,FRG-210,25,
LEMON BALM,lemon-balm,Fragrant Plants,,Fragrant plant,59900,39900,FRG-212,25,
LILY,lily,Fragrant Plants,,Fragrant plant,59900,39900,FRG-213,25,
MADHUMALTI,madhumalti,Fragrant Plants,,Fragrant plant,59900,39900,FRG-214,25,
MARYGOLD,marigold,Fragrant Plants,,Fragrant plant,59900,39900,FRG-215,25,
MINT,mint,Fragrant Plants,,Fragrant plant,59900,39900,FRG-216,25,
NIGHT JASMINE (PARIJAT),night-jasmine-parijat,Fragrant Plants,,Fragrant plant,59900,39900,FRG-217,25,
RAJNIGANDHA,rajnigandha,Fragrant Plants,,Fragrant plant,59900,39900,FRG-218,25,
RANJAI,ranjai,Fragrant Plants,,Fragrant plant,59900,39900,FRG-219,25,
ROYAL JASMINE (JUI),royal-jasmine-jui,Fragrant Plants,,Fragrant plant,59900,39900,FRG-221,25,
SWEET ALYSSUM,sweet-alyssum,Fragrant Plants,,Fragrant plant,59900,39900,FRG-222,25,
SWEET PEA,sweet-pea,Fragrant Plants,,Fragrant plant,59900,39900,FRG-223,25,
THYME (AJWAIN),thyme-ajwain,Fragrant Plants,,Fragrant plant,59900,39900,FRG-224,25,
TULSI,tulsi,Fragrant Plants,,Fragrant plant,59900,39900,FRG-225,25,
BANANA VINE,banana-vine,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-201,20,
BLUE FINGERS,blue-fingers,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-202,20,
BUNNY EARS CACTUS,bunny-ears-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-203,20,
CAMPFIRE,campfire,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-204,20,
CARNATION,carnation-succulent,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-205,20,
DOMINO CACTUS,domino-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-207,20,
DONKEY'S TAIE,donkeys-taie,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-208,20,
ECHEVERIA LOLA BLACK PRINCE,echeveria-lola-black-prince,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-209,20,
FAIRY CASTLE CACTUS,fairy-castle-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-210,20,
FIRESTORM,firestorm,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-211,20,
FLAPJACK,flapjack,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-212,20,
GOLDEN LACE CACTUS,golden-lace-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-214,20,
IRISH ROSE,irish-rose,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-215,20,
LADY FINGER CACTUS,lady-finger-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-216,20,
MEXICAN GEM,mexican-gem,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-217,20,
MOON CACTUS,moon-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-218,20,
PANDA PLANT,panda-plant,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-219,20,
PERUVIAN APPLE CACTUS,peruvian-apple-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-220,20,
RAT TAIL CACTUS,rat-tail-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-221,20,
ROCK JEWEL,rock-jewel,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-222,20,
SAN PEDRO CACTUS,san-pedro-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-223,20,
STAR CACTUS,star-cactus,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-224,20,
TIGER TOOTH,tiger-tooth,Cactus & Succulents,,Succulent/cactus,79900,59900,CAC-225,20,
CHIKU PLANT,chiku-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-200,10,
CITRUS LEMON,citrus-lemon,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-201,10,
CUSTARD APPLE,custard-apple,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-202,10,
DRAGON FRUIT PLANT,dragon-fruit-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-203,10,
DWARF BANANA PLANT,dwarf-banana-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-204,10,
DWARF PAPAYA PLANT,dwarf-papaya-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-205,10,
FIG PLANT,fig-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-206,10,
GUAVA TREE,guava-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-207,10,
IMLI PLANT,imli-plant,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-208,10,
INDIAN ALMOND TREE,indian-almond-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-209,10,
JACK FRUIT,jack-fruit,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-210,10,
JAMUN,jamun,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-211,10,
JUNGLE JALEBI,jungle-jalebi,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-212,10,
RAMFAL TREE,ramfal-tree,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-214,10,
SWEET LIME,sweet-lime,Fruit-Bearing Plants,,Fruit-bearing plant,249900,199900,FRU-215,10,
CARMONA FLOWERING,carmona-flowering,Bonsai Plants,,Bonsai plant,199900,159900,BON-200,8,
CHINESE ELM BONSAI,chinese-elm-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-201,8,
FICUS AERIAL ROOT,ficus-aerial-root,Bonsai Plants,,Bonsai plant,199900,159900,BON-202,8,
FICUS MICROCARPA BONSAI,ficus-microcarpa-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-204,8,
FICUS RETUSA BONSAI,ficus-retusa-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-205,8,
JUNIPER BONSAI TREE,juniper-bonsai-tree,Bonsai Plants,,Bonsai plant,199900,159900,BON-206,8,
MINI JADE BONSAI TREE,mini-jade-bonsai-tree,Bonsai Plants,,Bonsai plant,199900,159900,BON-207,8,
ULMUS PARVIFOLIA BONSAI,ulmus-parvifolia-bonsai,Bonsai Plants,,Bonsai plant,199900,159900,BON-208,8,
AADATHODA,aadathoda,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-200,20,
BLACK PEPPER,black-pepper,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-201,20,
CHAKRAMUNI,chakramuni,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-202,20,
ELEPHANT CREEPER,elephant-creeper,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-203,20,
GIANT MILKWEED,giant-milkweed,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-204,20,
GLORY BOWER,glory-bower,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-205,20,
GREATER GALANGAL,greater-galangal,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-206,20,
INSULIN,insulin,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-207,20,
MALABAR SPINACH,malabar-spinach,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-208,20,
MANATHAKALI,manathakali,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-209,20,
PAN,pan,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-210,20,
PIRANDAI,pirandai,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-211,20,
RANAKLLI,ranaklli,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-212,20,
ROSARY PEA,rosary-pea,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-213,20,
ROSEMARY,rosemary-herbal,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-214,20,
ROOSTERTREE,roostertree,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-215,20,
SAPPAN WOOD,sappan-wood,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-216,20,
SHATAVARI,shatavari,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-217,20,
STEVIA,stevia,Herbal & Medicinal Plants,,Herbal/medicinal plant,79900,59900,HER-218,20,
6 Inch Multi Singapore Pot (160mm),6-inch-multi-singapore-pot-160mm,Plastic Pots,Round Pots,Multi-color Singapore pot 160mm size,12000,12000,PLP-6IN-SING-160,80,
2.5 Inch Turq Singapore Pot (67mm),2-5-inch-turq-singapore-pot-67mm,Plastic Pots,Round Pots,Turquoise Singapore pot 67mm size,8000,8000,PLP-2P5IN-TURQ-67,80,
4 Inch Orange Singapore Pot (105mm),4-inch-orange-singapore-pot-105mm,Plastic Pots,Round Pots,Orange Singapore pot 105mm size,10000,10000,PLP-4IN-ORNG-105,80,
8.5 Inch Turq Singapore Pot (67mm),8-5-inch-turq-singapore-pot-67mm,Plastic Pots,Round Pots,Turquoise Singapore pot 67mm size,15000,15000,PLP-8P5IN-TURQ-67,80,
14 cm White Paris Square Pot,14-cm-white-paris-square-pot,Plastic Pots,Square Pots,White Paris square pot 14cm,16900,16900,PLP-SQR-14CM-WHT-PARIS,60,
Bonzi Square Pot 17 cm (Brown),bonzi-square-pot-17cm-brown,Plastic Pots,Square Pots,Bonzi square pot 17cm brown,11900,11900,PLP-SQR-17CM-BONZI-BRN,60,
Bonzi Square Pot 17 cm,bonzi-square-pot-17cm,Plastic Pots,Square Pots,Bonzi square pot 17cm,11900,11900,PLP-SQR-17CM-BONZI-STD,60,
17 cm Green Paris Square Pot,17-cm-green-paris-square-pot,Plastic Pots,Square Pots,Green Paris square pot 17cm,16900,16900,PLP-SQR-17CM-GRN-PARIS,60,
Vertical Flower Tower Pots 17 cm (Pack of 3, 6.5 Inch),vertical-flower-tower-pots-17cm-pack-3,Plastic Pots,Stacking Pots,Stacking flower tower set pack of 3 (6.5 inch),89900,89900,PLP-STK-VERT-17CM-PK3,40,
Hanging Pot 17.5 cm,hanging-pot-17-5cm,Plastic Pots,Hanging Pots,Standard hanging pot 17.5cm,9900,9900,PLP-HNG-17P5CM-STD,80,
Turq Hanging Planter 16 cm,turq-hanging-planter-16cm,Plastic Pots,Hanging Pots,Turquoise hanging planter 16cm,12000,12000,PLP-HNG-TURQ-16CM,80,
Hanging Planter 21 cm,hanging-planter-21cm,Plastic Pots,Hanging Pots,Standard hanging planter 21cm,17000,17000,PLP-HNG-21CM-STD,80,
Green Hanging Planter 18 cm,green-hanging-planter-18cm,Plastic Pots,Hanging Pots,Green hanging planter 18cm,15000,15000,PLP-HNG-GRN-18CM,80,
Blue Ribbed Rectangular Ceramic Planter Set of 2,blue-ribbed-rectangular-ceramic-planter-set-2,Rectangular Planters, Ceramic Pots,Set of 2 blue ribbed rectangular ceramic planters,289900,289900,CER-RECT-RIBBED-SET2,20,
Parrot Green Ceramic Pot 8 cm,parrot-green-ceramic-pot-8cm,Round Pots,Ceramic Pots,Parrot green ceramic round pot 8cm,19900,19900,CER-RND-PARROT-GRN-8CM,60,
Harmony Fan Planter Set of 2 (14 & 18 cm),harmony-fan-planter-set-2-14-18cm,Creative Planter Designs,Ceramic Pots,Set of 2 Harmony fan planters 14cm & 18cm,199900,199900,CER-SET-HARMONY-FAN-2PC,25,
White Ceramic Planter with Vertical Ridges 12 cm,white-ceramic-planter-vertical-ridges-12cm,Round Pots,Ceramic Pots,White ceramic planter with vertical ridges 12cm,39900,39900,CER-RND-WHT-RIDGES-12CM,60,
Rectangular Ceramic Planter with Saucer 14 cm,rectangular-ceramic-planter-with-saucer-14cm,Rectangular Planters,Ceramic Pots,Rectangular ceramic planter with saucer 14cm,89900,89900,CER-RECT-SAUCER-14CM,40,
