name,slug,category,subcategory,description,mrp,price,sku,stock,image_urls
WEEPING FIG,weeping-fig,Indoor Plants,,Ficus benjamina; elegant indoor tree; bright filtered light.,1999,1499,WEP-FIG-001,10,
MAIDENHAIR FERN,maidenhair-fern,Indoor Plants,,Delicate fronds; loves humidity and gentle indirect light.,999,799,MDF-FRN-001,20,
PEPEROMIA RAINDROP,peperomia-raindrop,Indoor Plants,,Thick raindrop-shaped leaves; compact and easy-care.,999,799,PEP-RND-001,22,
AGLAONEMA,aglaonema,Indoor Plants,,Resilient variegated foliage; thrives in low indoor light.,1499,1199,AGL-001,18,
PARLOR PALM,parlor-palm,Indoor Plants,,Victorian classic indoor palm; tolerates low light.,1299,999,PRL-PAL-001,20,
FICUS LYARATA,ficus-lyarata,Indoor Plants,,Large sculptural leaves; prefers bright indirect light indoors.,2999,2399,FIC-LYR-001,8,
FICUS STARLIGHT,ficus-starlight,Indoor Plants,,Variegated ficus; striking leaves; bright filtered light indoors.,2499,1999,FIC-STR-001,12,
ALOCASIA,alocasia,Indoor Plants,,Bold arrow-shaped leaves; enjoys humidity and medium light.,1999,1499,ALC-001,14,
Peace Lily,peace-lily,Indoor Plants,,Classic indoor flowering plant; thrives in low light.,1499,1199,PCE-LIL-001,20,
Brazilian Wood,brazilian-wood,Indoor Plants,,Hardy ornamental indoor tree; architectural foliage and easy care.,1799,1399,BRZ-WOD-001,15,
English Ivy,english-ivy,Indoor Plants,,Trailing vine; great for hanging baskets and shelves indoors.,899,699,ENG-IVY-001,25,
Fiddle Leaf Fig,fiddle-leaf-fig,Indoor Plants,,Iconic large leaves; prefers bright indirect light indoors.,2499,1999,FDL-FIG-001,8,
Money Plant,money-plant,Indoor Plants,,Popular vining plant; very forgiving and easy to grow indoors.,799,599,MNY-PLT-001,30,
Lucky Bamboo,lucky-bamboo,Indoor Plants,,Symbol of good fortune; thrives in water or soil indoors.,999,799,LKY-BAM-001,25,
Fittonia,fittonia,Indoor Plants,,Nerve plant with vibrant veined leaves; loves humidity.,899,699,FIT-001,20,
Golden Pothos,golden-pothos,Indoor Plants,,Classic indoor air-purifying vine; adaptable and fast-growing.,799,599,GLD-POT-001,30,
Hoya,hoya,Indoor Plants,,Wax plant with thick leaves; blooms with clusters of starry flowers.,1299,999,HOY-001,15,
Monstera Deliciosa,monstera-deliciosa,Indoor Plants,,Statement plant with split leaves; prefers bright filtered light.,2999,2399,MON-DEL-001,12,
